,inputs,outputs,predictions
6001,give me directions to my house where is your house located? it should be the closest address.,is it 5677_springer_street_address?,<pad> <pad> will <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i <pad> <pad> <eos>
6002,give me directions to my house where is your house located? it should be the closest address. is it 5677_springer_street_address? yes.,will you be needing any more info?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you welcome <unk> <eos>
6003,"give me directions to my house where is your house located? it should be the closest address. is it 5677_springer_street_address? yes. will you be needing any more info? that's it, thank you car, please set the navigation to reach there on a route with 5677_springer_street_traffic_info","i've picked a route with 5677_springer_street_traffic_info, follow the map on the screen and enjoy your trip!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> here <eos>
6004,where is the closest parking garage?,the closest parking garage is the palo alto garage r. it's Palo_Alto_Garage_R_distance away in heavy traffic.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there which you is the nearby <eos>
6005,where is the closest parking garage? the closest parking garage is the palo alto garage r. it's Palo_Alto_Garage_R_distance away in heavy traffic.  what is the address?,palo alto garage r	is at Palo_Alto_Garage_R_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there <unk> <unk> me is at <unk> <eos>
6006,where is the closest parking garage? the closest parking garage is the palo alto garage r. it's Palo_Alto_Garage_R_distance away in heavy traffic.  what is the address? palo alto garage r	is at Palo_Alto_Garage_R_address. thank you!,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i <unk> <eos>
6007,what is the date of my next yoga class,your yoga activity is on yoga_activity_date.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> meeting you scheduled thursday on swimming_activity_date 5 pm <eos>
6008,when is my swimming activity and who is attending?,you have a swimming activity scheduled on swimming_activity_date at 3 pm with marie and another one on the 14th at 10 am with jon.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> one on one would you like the information <unk> <eos>
6009,"when is my swimming activity and who is attending? you have a swimming activity scheduled on swimming_activity_date at 3 pm with marie and another one on the 14th at 10 am with jon.  okay, i needed the one at swimming_activity_time. thanks.",glad i can assist.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have good welcome <eos>
6010,where is a parking garage without heavy traffic?,there is stanford oval parking Stanford_Oval_Parking_distance avoid with moderate traffic on its direction,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> away seasons is gps stanford gps directions <unk> <eos>
6011,"where is a parking garage without heavy traffic? there is stanford oval parking Stanford_Oval_Parking_distance avoid with moderate traffic on its direction that's great, please send me the directions on my map!",displaying directions on your map.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> hotel welcome is teavana <unk> <eos>
6012,"where is a parking garage without heavy traffic? there is stanford oval parking Stanford_Oval_Parking_distance avoid with moderate traffic on its direction that's great, please send me the directions on my map! displaying directions on your map. thanks, what is the address?",stanford oval parking is at Stanford_Oval_Parking_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> located at Palo_Alto_Medical_Foundation_address <eos>
6013,"where is a parking garage without heavy traffic? there is stanford oval parking Stanford_Oval_Parking_distance avoid with moderate traffic on its direction that's great, please send me the directions on my map! displaying directions on your map. thanks, what is the address? stanford oval parking is at Stanford_Oval_Parking_address. please pick a route to avoid all heavy traffic and let's go there, thanks!",maping route to stanford oval parking,<pad> <pad> <pad> <pad> <pad> <pad> <pad> sent <pad> sent its on the your route all drive <unk> <unk> <eos>
6014,"where is a parking garage without heavy traffic? there is stanford oval parking Stanford_Oval_Parking_distance avoid with moderate traffic on its direction that's great, please send me the directions on my map! displaying directions on your map. thanks, what is the address? stanford oval parking is at Stanford_Oval_Parking_address. please pick a route to avoid all heavy traffic and let's go there, thanks! maping route to stanford oval parking thank you car!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> happy <pad> assist <unk> <unk> <eos>
6015,what time and date do i have football scheduled next?,your next football activity is scheduled for football_activity_date at 11am.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and one on am to 1 monday at 6pm <eos>
6016,what is the forecast for the city this week,what city would you like the weather for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city wanting to know the forecast <unk> <eos>
6017,what is the forecast for the city this week what city would you like the weather for? i want to know if it will be stormy in new york this week,it will be stormy on wednesday and new_york_saturday in new york.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it will will be stormy in this week in week <eos>
6018,what is the forecast for the city this week what city would you like the weather for? i want to know if it will be stormy in new york this week it will be stormy on wednesday and new_york_saturday in new york. thanks.,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anytime <eos>
6019,will it rain in chicago next week?,it will not rain in chicago next week.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will be rain should be rain week <eos>
6020,will it rain in chicago next week? it will not rain in chicago next week. sounds wonderful. thank you.,you're welcome. have a good day.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no problem have have <unk> <eos>
6021,remind me that i have yoga with ana at 4 pm on wednesday,"okay, i have set a reminder for the event yoga with ana at 4pm on wednesday.",<pad> <pad> <pad> <pad> <pad> <pad> about a next week 5 <pad> your 3rd at pm at 5pm pm <eos>
6022,what is the date and time for my optometrist appointment?,"you have an optometrist appointment on the 3rd at 10am with jeff, and on optometrist_appointment_date at 3pm with martha.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will and is on the at at 3pm <eos>
6023,"what is the date and time for my optometrist appointment? you have an optometrist appointment on the 3rd at 10am with jeff, and on optometrist_appointment_date at 3pm with martha. thanks!",you're welcome,it's <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're are help need my <eos>
6024,"what is the date and time for my optometrist appointment? you have an optometrist appointment on the 3rd at 10am with jeff, and on optometrist_appointment_date at 3pm with martha. thanks! you're welcome great.",you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> my <pad> <eos>
6025,remind me about swimming with jeff later this week at 4 pm.,"okay, setting a reminder for swimming with jeff later this week at 4 pm.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> remind on for swimming of 7th with jeff any set <unk> for <eos>
6026,"remind me about swimming with jeff later this week at 4 pm. okay, setting a reminder for swimming with jeff later this week at 4 pm. thanks.",you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome welcome are welcome <eos>
6027,what's the weather supposed to be like in new york city this week,what days are you interested in?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> skies with the highs in 80s and lows in monday <unk> <eos>
6028,what's the weather supposed to be like in new york city this week what days are you interested in? will it be hot in new york?,"in new york it will be dry on new_york_saturday, with low of 60f, and high of 80f",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <pad> the <pad> it not be this week this week <eos>
6029,"what's the weather supposed to be like in new york city this week what days are you interested in? will it be hot in new york? in new york it will be dry on new_york_saturday, with low of 60f, and high of 80f thank you!",no problem,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no <unk> <eos>
6030,please find me directions to a nearby place i can get some coffee,there is a coffee shop Philz_distance from you at 583 alester avenue.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> here are directions to palo alto cafe <eos>
6031,please find me directions to a nearby place i can get some coffee there is a coffee shop Philz_distance from you at 583 alester avenue.  give me the shortest route please.,setting navigation now to philz.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and the Town_and_Country_address your on your <unk> <eos>
6032,please find me directions to a nearby place i can get some coffee there is a coffee shop Philz_distance from you at 583 alester avenue.  give me the shortest route please.  setting navigation now to philz.  thank you.,you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> now <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
6033,is it going to rain in the next 7 days,what city do you want the weather for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will location rain you look up data <unk> <eos>
6034,is it going to rain in the next 7 days what city do you want the weather for? fresno,"in fresno, there is no rain in the forecast.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will be rain in mountain mountain new <eos>
6035,"is it going to rain in the next 7 days what city do you want the weather for? fresno in fresno, there is no rain in the forecast. thanks.",you are welcome.,<pad> <pad> wednesday tuesday seattle_friday those in <pad> <pad> <pad> fresno exeter hot today very in the in in <eos>
6036,will it be overcast in boston on boston_saturday?,it will not be overcast in boston on boston_saturday.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will not be be be boston on boston_monday <eos>
6037,will it be overcast in boston on boston_saturday? it will not be overcast in boston on boston_saturday.  thank you car!,you are welcome,<pad> <pad> the <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> very welcome <unk> <eos>
6038,what time is my doctor's appointment,tuesday 2pm,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> do <pad> is at 1 pm <eos>
6039,what's it going to be like in san jose,"today there is frost in san jose, with a high of 60f and a low of 40f. tomorrow will be high 50f and low 30f.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city would you the in data forecast <eos>
6040,"what's it going to be like in san jose today there is frost in san jose, with a high of 60f and a low of 40f. tomorrow will be high 50f and low 30f. that's okay, thank you car!",anytime,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <unk> <eos>
6041,please schedule me a yoga activity with tom on the 4th at 5pm.,i will schedule your yoga activity with tom on the 4th at 5pm.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> pm this and yoga this at martha on the 8th at 5pm <eos>
